scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,pair,slope,correlation
growth,0,0,true,poisson_shared,g12_o1,12,False,True,"2,2",0.26354488880726673,0.6181962899850705
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"0,0",-0.014613144179250618,-0.10810659406355567
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"0,1",-0.04904221423892283,-0.26953298733237663
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"0,2",0.00304563408725796,0.3425296698814866
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"1,1",-0.016181510570215614,-0.09831806141496971
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"1,2",0.04388222643352922,0.7019383237036533
growth,0,0,true,poisson_shared,g15_o2,15,False,False,"2,2",-0.04940137950261312,-0.24769253075655295
growth,0,0,true,poisson_shared,g21_o2,21,False,True,"0,0",0.10096906602029089,0.7326421157064326
growth,0,0,true,poisson_shared,g21_o2,21,False,True,"0,1",-0.722380239347012,-0.39351012574340943
growth,0,0,true,poisson_shared,g21_o2,21,False,True,"0,2",0.1584758397344677,0.4802153084704633
growth,0,0,true,poisson_shared,g21_o2,21,False,True,"1,1",-0.1711077671883948,-0.6253528474287707
growth,0,0,true,poisson_shared,g21_o2,21,False,True,"1,2",0.15323118654908188,0.5214956054497012
growth,0,0,true,poisson_shared,g21_o2,21,False,True,"2,2",-0.0493520870453126,-0.23401772842609095
growth,0,0,true,poisson_shared,g09_o1,9,False,True,"0,0",-0.0136452959794862,-0.0835273445847927
growth,0,0,true,poisson_shared,g09_o1,9,False,True,"0,1",0.040349116995500874,0.43158742166227854
growth,0,0,true,poisson_shared,g09_o1,9,False,True,"0,2",0.03616124225089721,0.38034623316332367
growth,0,0,true,poisson_shared,g09_o1,9,False,True,"1,1",-0.1580187891230225,-0.5654110355780594
growth,0,0,true,poisson_shared,g09_o1,9,False,True,"1,2",-0.07206246543542466,-0.4563238132155478
growth,0,0,true,poisson_shared,g09_o1,9,False,True,"2,2",-0.05024276664207973,-0.25080773735981304
growth,0,0,true,poisson_shared,g19_o1,19,False,True,"0,0",0.16497017986633966,0.85690886512592
growth,0,0,true,poisson_shared,g19_o1,19,False,True,"0,1",-0.07241533641793126,-0.3670784787914488
growth,0,0,true,poisson_shared,g19_o1,19,False,True,"0,2",0.055789138909730474,0.5552033863526051
growth,0,0,true,poisson_shared,g19_o1,19,False,True,"1,1",-0.12689714961760418,-0.4885930178667964
growth,0,0,true,poisson_shared,g19_o1,19,False,True,"1,2",-0.016760892247015147,-0.1814256114072077
growth,0,0,true,poisson_shared,g19_o1,19,False,True,"2,2",-0.04089999720945596,-0.21225521470201883
growth,0,0,true,poisson_shared,g08_o1,8,False,True,"0,0",-0.021612336168859547,-0.14656338095037355
growth,0,0,true,poisson_shared,g08_o1,8,False,True,"0,1",-7.037156054459076,-0.15590900520593692
growth,0,0,true,poisson_shared,g08_o1,8,False,True,"0,2",0.1312761099652624,0.40911988120198667
growth,0,0,true,poisson_shared,g08_o1,8,False,True,"1,1",-0.3220342573337832,-0.7288007271599819
growth,0,0,true,poisson_shared,g08_o1,8,False,True,"1,2",0.10776641117789079,0.39410638945809673
growth,0,0,true,poisson_shared,g08_o1,8,False,True,"2,2",0.3011458911288591,0.643614300632296
growth,0,0,true,poisson_shared,g18_o1,18,False,True,"0,0",0.022185823543956637,0.10913628574539848
growth,0,0,true,poisson_shared,g18_o1,18,False,True,"0,1",-0.4626546942834138,-0.5745339523348497
growth,0,0,true,poisson_shared,g18_o1,18,False,True,"0,2",0.17751867256046924,0.5274434145072461
growth,0,0,true,poisson_shared,g18_o1,18,False,True,"1,1",-0.21647600336472048,-0.6729952880444668
growth,0,0,true,poisson_shared,g18_o1,18,False,True,"1,2",0.14608930970267345,0.5424002407634023
growth,0,0,true,poisson_shared,g18_o1,18,False,True,"2,2",-0.0615928820214526,-0.31005208734061374
growth,0,0,true,poisson_shared,g16_o2,16,False,True,"0,0",0.1565345434025612,0.8408145665846869
growth,0,0,true,poisson_shared,g16_o2,16,False,True,"0,1",-0.07854549938310841,-0.3448030394527348
growth,0,0,true,poisson_shared,g16_o2,16,False,True,"0,2",0.047092646350593556,0.4584544418240721
growth,0,0,true,poisson_shared,g16_o2,16,False,True,"1,1",-0.13722762978937508,-0.5031437355647139
growth,0,0,true,poisson_shared,g16_o2,16,False,True,"1,2",-0.03135390913675484,-0.3857615779006486
growth,0,0,true,poisson_shared,g16_o2,16,False,True,"2,2",-0.04636691630103741,-0.23453440478639936
growth,0,0,true,poisson_shared,g22_o2,22,False,False,"0,0",-0.027691476576793835,-0.19436424935175842
growth,0,0,true,poisson_shared,g22_o2,22,False,False,"0,1",-0.06619090453841031,-0.33173637947014667
growth,0,0,true,poisson_shared,g22_o2,22,False,False,"0,2",0.002869678190886869,0.34115477163824554
growth,0,0,true,poisson_shared,g22_o2,22,False,False,"1,1",-0.013070670104760741,-0.07719934588224217
growth,0,0,true,poisson_shared,g22_o2,22,False,False,"1,2",0.03771718880241156,0.6891645828139192
growth,0,0,true,poisson_shared,g22_o2,22,False,False,"2,2",-0.045095558203056385,-0.22815428940934918
growth,0,0,true,poisson_shared,g12_o2,12,False,False,"0,0",0.0393774416174884,0.3182389549397963
growth,0,0,true,poisson_shared,g12_o2,12,False,False,"0,1",-3.3932458440969238,-0.25261997874793235
growth,0,0,true,poisson_shared,g12_o2,12,False,False,"0,2",0.12535281512467608,0.3986977521831972
growth,0,0,true,poisson_shared,g12_o2,12,False,False,"1,1",-0.3490259363762955,-0.7404484027936723
growth,0,0,true,poisson_shared,g12_o2,12,False,False,"1,2",0.09532710128573627,0.37231626162819503
growth,0,0,true,poisson_shared,g12_o2,12,False,False,"2,2",0.30426175396496985,0.6474036150166794
growth,0,0,true,poisson_shared,g05_o1,5,False,True,"0,0",0.05998266077608752,0.23122022869341527
growth,0,0,true,poisson_shared,g05_o1,5,False,True,"0,1",-0.12906317928210545,-0.3068189505083243
growth,0,0,true,poisson_shared,g05_o1,5,False,True,"0,2",0.03576194388307351,0.3940898609779492
growth,0,0,true,poisson_shared,g05_o1,5,False,True,"1,1",-0.17709198343234656,-0.5326008824175368
growth,0,0,true,poisson_shared,g05_o1,5,False,True,"1,2",-0.06887513424289789,-0.46227216898010626
growth,0,0,true,poisson_shared,g05_o1,5,False,True,"2,2",-0.03521003447082495,-0.17929341708418614
growth,0,0,true,poisson_shared,g21_o1,21,False,False,"0,0",-0.050398863520140606,-0.29923262802581074
growth,0,0,true,poisson_shared,g21_o1,21,False,False,"0,1",-1.2262149205090032,-0.2730220287783853
