scenario,pool,replicate,source,variant,search,rank,graph,newick,best_order,reliable,logz,elbo
growth,0,0,true,poisson_shared,including_loop,20,12,"(((a,c),b.1),b.2)",g12_o1,False,-1157.1744539248045,-1214.316052837054
growth,0,0,true,poisson_shared,including_loop,21,2,"((a,c),b)",g02_o1,False,-1230.7282439336593,-1235.333677089238
growth,0,0,true,poisson_shared,including_loop,22,3,"((b,c),a)",g03_o1,False,-1183.119031617149,-1297.0707361635366
growth,0,0,true,poisson_separate,loop_omitted,1,15,"((a,b.1),(b.2,c))",g15_o2,False,-204.2934880216158,-251.93236321162973
growth,0,0,true,poisson_separate,loop_omitted,2,11,"(((a,b.1),c),b.2)",g11_o1,False,-235.61259715406266,-269.2104566231887
growth,0,0,true,poisson_separate,loop_omitted,3,10,"(((a,b.1),b.2),c)",g10_o1,False,-233.39135556951308,-295.0765167908506
growth,0,0,true,poisson_separate,loop_omitted,4,1,"((a,b),c)",g01_o1,False,-254.23764640764597,-297.8577721883508
growth,0,0,true,poisson_separate,loop_omitted,5,19,"(((b,c.1),a),c.2)",g19_o1,False,-277.3791767906015,-303.87039324166057
growth,0,0,true,poisson_separate,loop_omitted,6,17,"(((a,c.1),b),c.2)",g17_o1,False,-267.0015477047822,-312.35329900060873
growth,0,0,true,poisson_separate,loop_omitted,7,9,"((a.1,b),(a.2,c))",g09_o2,False,-269.3295622027118,-330.1656669553295
growth,0,0,true,poisson_separate,loop_omitted,8,16,"(((a,b),c.1),c.2)",g16_o1,False,-267.1302700579745,-382.15524975606974
growth,0,0,true,poisson_separate,loop_omitted,9,4,"(((a.1,b),a.2),c)",g04_o1,False,-276.6955875832372,-383.84272390169474
growth,0,0,true,poisson_separate,loop_omitted,10,5,"(((a.1,b),c),a.2)",g05_o1,False,-269.59483454051616,-406.25267073778855
growth,0,0,true,poisson_separate,loop_omitted,11,3,"((b,c),a)",g03_o1,False,-573.850385816398,-601.0772044560464
growth,0,0,true,poisson_separate,loop_omitted,12,2,"((a,c),b)",g02_o1,False,-578.4495075644262,-604.6663440395378
growth,0,0,true,poisson_separate,loop_omitted,13,7,"(((a.1,c),b),a.2)",g07_o1,False,-588.298289170538,-627.0629006178201
