scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,lp_ibd,lp_snp,chi2_ibd,chi2_snp
growth,0,0,hapibd,poisson_shared,g01_o1,1,False,True,-308.92028246597033,-100.46091584116073,439.00628377281396,293.80413007223643
growth,0,0,hapibd,poisson_shared,g11_o1,11,False,True,-208.53504871207898,44.48948808404531,174.6607771229858,3.9033222218808064
growth,0,0,hapibd,poisson_shared,g10_o1,10,False,True,-203.92134007580944,43.80004792387281,149.82889505113002,5.2822025421491725
growth,0,0,hapibd,poisson_shared,g04_o1,4,False,True,-284.599520357333,-39.64465363914232,533.7983592421353,172.17160566829136
growth,0,0,hapibd,poisson_shared,g20_o1,20,False,True,-709.7791951154368,-90.61364734467452,63180.07913910579,274.10959307919995
growth,0,0,hapibd,poisson_shared,g08_o2,8,False,False,-1045.7158010016165,19.347197478593205,1437.9024566454184,54.18790343282221
growth,0,0,hapibd,poisson_shared,g14_o1,14,False,True,-699.8187723033477,26.559143063744294,446562.8351737945,39.764012262464924
growth,0,0,hapibd,poisson_separate,g03_o1,3,False,True,-528.5971476019163,20.451176239511156,984.91490492295,51.97994591082992
growth,0,0,hapibd,poisson_separate,g13_o1,13,False,True,-528.2436155780978,14.308441890610947,906.0029757855125,64.26541460868172
growth,0,0,hapibd,poisson_separate,g07_o1,7,False,True,-532.3193834719162,18.834515321627702,1285.2899519029158,55.21326774672375
growth,0,0,hapibd,poisson_separate,g17_o1,17,False,True,-206.63360485740432,20.376709404796607,135.25200883585896,52.12887958030642
growth,0,0,hapibd,poisson_separate,g06_o1,6,False,True,-513.3167042288123,19.568787858582898,927.3545505550211,53.74472267273625
growth,0,0,hapibd,poisson_separate,g22_o1,22,False,False,-190.00266293085687,46.0009881395191,115.77692224862867,0.8803221108736857
growth,0,0,hapibd,poisson_separate,g16_o1,16,False,True,-214.2618241105853,19.024464467386487,150.10806852790452,54.83336945515224
growth,0,0,hapibd,poisson_separate,g02_o1,2,False,True,-528.8629690526798,19.822512545030243,972.8845653493231,53.23727329977747
growth,0,0,hapibd,poisson_separate,g12_o1,12,False,True,-529.8007413359919,21.11119418168254,1031.7810476668685,50.65991002658849
growth,0,0,hapibd,poisson_separate,g15_o2,15,False,False,-205.4670354775761,45.44308535760002,150.10083973167787,1.9961276747037395
growth,0,0,hapibd,poisson_separate,g21_o2,21,False,True,-532.114148108697,19.858989812460138,974.382572008929,53.16431876497816
growth,0,0,hapibd,poisson_separate,g09_o1,9,False,False,-207.16952144307746,20.300604059343478,144.75478399718804,52.281090271137415
growth,0,0,hapibd,poisson_separate,g19_o1,19,False,True,-213.57339107053085,20.86122020764067,144.37145203636413,51.15985797465532
growth,0,0,hapibd,poisson_separate,g08_o1,8,False,True,-505.4598273405434,22.451032985864153,898.549360082266,47.98023241816653
growth,0,0,hapibd,poisson_separate,g18_o1,18,False,True,-510.54648990667505,19.668831638836068,860.8603998375079,53.544635112255804
growth,0,0,hapibd,poisson_separate,g16_o2,16,False,False,-212.0947357952454,20.434163914343607,151.6999395509496,52.01397056124236
growth,0,0,hapibd,poisson_separate,g22_o2,22,False,True,-204.69311598141226,45.56497784393417,140.47385786806217,1.7523427020401539
growth,0,0,hapibd,poisson_separate,g12_o2,12,False,False,-533.9311121129804,19.113172544370986,988.2405225965283,54.655953301163265
growth,0,0,hapibd,poisson_separate,g05_o1,5,False,True,-209.65786208540547,18.316493799612807,153.29256144987235,56.24931079069002
growth,0,0,hapibd,poisson_separate,g21_o1,21,False,False,-510.5199140105366,20.111366431507776,927.3381065021349,52.659565526913575
growth,0,0,hapibd,poisson_separate,g09_o2,9,False,True,-206.68712131178225,20.195279479888512,150.6247411513088,52.491739430097034
growth,0,0,hapibd,poisson_separate,g15_o1,15,False,True,-192.4894899597181,44.809217141861566,114.88595768184499,3.2638641062180653
growth,0,0,hapibd,poisson_separate,g01_o1,1,False,True,-213.26398274211564,20.499463534271822,151.0693586787161,51.88337132136232
growth,0,0,hapibd,poisson_separate,g11_o1,11,False,True,-205.65222505836036,45.20979484069533,133.598567707341,2.4627087084646773
growth,0,0,hapibd,poisson_separate,g10_o1,10,False,True,-203.19000918725942,41.60169115119247,141.1456088478233,9.678916087564732
growth,0,0,hapibd,poisson_separate,g04_o1,4,False,True,-205.73748945232313,19.666939793762985,146.85020212448802,53.54841880237896
growth,0,0,hapibd,poisson_separate,g20_o1,20,False,True,-532.4435805398632,19.313656285702514,857.2258973571209,54.25498581858115
growth,0,0,hapibd,poisson_separate,g08_o2,8,False,False,-537.5630715916694,20.795110725720956,1016.0552205866267,51.29207693855106
growth,0,0,hapibd,poisson_separate,g14_o1,14,False,True,-530.1026781091359,19.887461312129226,964.8463981346617,53.10737576568503
