scenario,pool,replicate,source,variant,candidate,graph,reliable,parameter,mean,lower,upper,truth,error
growth,0,0,true,poisson_shared,g22_o1,22,False,loop_open,5.989159068771575,4.935827494390594,7.0807754623485435,10,-4.010840931228425
growth,0,0,true,poisson_shared,g22_o1,22,False,loop_major_fraction,0.5421305495810842,0.5012449297179402,0.6303954236159253,0.75,-0.2078694504189158
growth,0,0,true,poisson_shared,g22_o1,22,False,loop_close,18.66275343956954,16.383638942078232,21.73368560878066,25,-6.3372465604304615
growth,0,0,true,poisson_shared,g22_o1,22,False,b_split,33.58140411742972,30.986616856892756,36.36279954096639,30,3.58140411742972
growth,0,0,true,poisson_shared,g22_o1,22,False,b_fraction,0.7113315360965795,0.6934211166772514,0.7253668897420478,0.75,-0.03866846390342049
growth,0,0,true,poisson_shared,g22_o1,22,False,left,56.7281947195485,53.156918070699696,59.97988892790365,50,6.7281947195484975
growth,0,0,true,poisson_shared,g22_o1,22,False,right,129.30499173831748,120.123857553776,141.29229735714287,100,29.304991738317483
growth,0,0,true,poisson_shared,g22_o1,22,False,root,252.87148964314014,240.03904301719516,263.43627081363235,300,-47.12851035685986
growth,0,0,true,poisson_shared,g15_o2,15,False,b_split,34.45272488403897,29.840803806477826,36.5880736052436,30,4.452724884038972
growth,0,0,true,poisson_shared,g15_o2,15,False,b_fraction,0.7525413772625458,0.7427619147635216,0.7669974112525331,0.75,0.0025413772625457742
growth,0,0,true,poisson_shared,g15_o2,15,False,right,67.66444509280863,65.24882557562772,71.0683699529444,100,-32.335554907191366
growth,0,0,true,poisson_shared,g15_o2,15,False,left,70.5561522217166,67.10573818099684,75.34174209560754,50,20.5561522217166
growth,0,0,true,poisson_shared,g15_o2,15,False,root,300.94298606724425,280.1527167021375,313.22590275931486,300,0.9429860672442487
growth,0,0,true,poisson_shared,g22_o2,22,False,loop_open,14.638124370610441,7.386463149468292,18.068853188788108,10,4.638124370610441
growth,0,0,true,poisson_shared,g22_o2,22,False,loop_major_fraction,0.6673193122832082,0.5258595505393946,0.8222284640787842,0.75,-0.08268068771679182
growth,0,0,true,poisson_shared,g22_o2,22,False,loop_close,25.244696017508087,18.96583326312546,30.1131457536756,25,0.24469601750808678
growth,0,0,true,poisson_shared,g22_o2,22,False,b_split,41.947925904137016,36.02960149466208,45.61612865513456,30,11.947925904137016
growth,0,0,true,poisson_shared,g22_o2,22,False,b_fraction,0.7513245771568976,0.7307405996662351,0.7693416258741494,0.75,0.0013245771568975995
growth,0,0,true,poisson_shared,g22_o2,22,False,right,69.17973087052786,65.00609663291925,72.19568765486288,100,-30.820269129472138
growth,0,0,true,poisson_shared,g22_o2,22,False,left,72.01653304002762,67.64778424084783,74.45146062854899,50,22.016533040027625
growth,0,0,true,poisson_shared,g22_o2,22,False,root,301.53954782194984,289.08036586970456,310.12011500564256,300,1.5395478219498386
growth,0,0,true,poisson_shared,g15_o1,15,False,b_split,32.87831659348814,29.51068447154402,34.00224058168997,30,2.8783165934881367
growth,0,0,true,poisson_shared,g15_o1,15,False,b_fraction,0.7033446290125792,0.6988357307708105,0.7246740780183131,0.75,-0.046655370987420786
growth,0,0,true,poisson_shared,g15_o1,15,False,left,55.9288529155831,54.15554886691477,58.716868046257794,50,5.9288529155831
growth,0,0,true,poisson_shared,g15_o1,15,False,right,131.86106997926095,123.30601037413011,132.86860904844357,100,31.861069979260947
growth,0,0,true,poisson_shared,g15_o1,15,False,root,247.6412447161588,246.38169019628006,254.63764538533465,300,-52.35875528384119
growth,0,0,true,poisson_separate,g22_o1,22,False,loop_open,5.541575184825204,4.8014644497803785,6.345474960531146,10,-4.458424815174796
growth,0,0,true,poisson_separate,g22_o1,22,False,loop_major_fraction,0.5815980782607639,0.5125595287858451,0.7407957801700518,0.75,-0.16840192173923607
growth,0,0,true,poisson_separate,g22_o1,22,False,loop_close,18.45795474792273,15.89852914640974,21.962810979846765,25,-6.542045252077269
growth,0,0,true,poisson_separate,g22_o1,22,False,b_split,37.9684068260634,33.84565132125409,39.66538356632772,30,7.968406826063401
growth,0,0,true,poisson_separate,g22_o1,22,False,b_fraction,0.6983552114808018,0.6740421570310785,0.7473632339482412,0.75,-0.05164478851919818
growth,0,0,true,poisson_separate,g22_o1,22,False,left,56.92225183664659,55.20740718023875,60.62910572713536,50,6.922251836646588
growth,0,0,true,poisson_separate,g22_o1,22,False,right,117.80913269642424,113.03750958556964,128.17640371311037,100,17.809132696424243
growth,0,0,true,poisson_separate,g22_o1,22,False,root,273.62789256729735,262.34453277485073,301.63808594989985,300,-26.37210743270265
growth,0,0,true,poisson_separate,g15_o2,15,False,b_split,29.75990571829971,27.801742524180476,31.276266311620127,30,-0.24009428170029068
growth,0,0,true,poisson_separate,g15_o2,15,False,b_fraction,0.8207271713995126,0.8103114229324916,0.8254139263555272,0.75,0.07072717139951257
growth,0,0,true,poisson_separate,g15_o2,15,False,right,64.22062443477934,61.87881340257875,65.82805370470476,100,-35.77937556522066
growth,0,0,true,poisson_separate,g15_o2,15,False,left,66.78417763980532,64.95287327271967,68.46471492074963,50,16.78417763980532
growth,0,0,true,poisson_separate,g15_o2,15,False,root,341.0530636174892,331.8685129929989,360.3757321372103,300,41.053063617489215
growth,0,0,true,poisson_separate,g22_o2,22,False,loop_open,3.9241086010564747,3.7119016002613647,5.600163300198436,10,-6.075891398943526
growth,0,0,true,poisson_separate,g22_o2,22,False,loop_major_fraction,0.619179639039888,0.6157856840420981,0.647431957964366,0.75,-0.13082036096011196
growth,0,0,true,poisson_separate,g22_o2,22,False,loop_close,14.019787933507907,13.859776857962528,15.031101680500445,25,-10.980212066492093
growth,0,0,true,poisson_separate,g22_o2,22,False,b_split,33.48130658444037,33.241268875189576,35.88035744114125,30,3.481306584440368
growth,0,0,true,poisson_separate,g22_o2,22,False,b_fraction,0.816276250118746,0.81574477874026,0.8249336075581194,0.75,0.06627625011874605
growth,0,0,true,poisson_separate,g22_o2,22,False,right,62.69275984265965,62.443651506868434,65.03905024941214,100,-37.30724015734035
growth,0,0,true,poisson_separate,g22_o2,22,False,left,67.08693040128631,67.03005378594764,67.34890160296037,50,17.08693040128631
growth,0,0,true,poisson_separate,g22_o2,22,False,root,334.3296144882512,334.01878157618046,336.9946283259725,300,34.329614488251195
growth,0,0,true,poisson_separate,g15_o1,15,False,b_split,36.90201341302906,32.512695770516316,40.43854068901269,30,6.90201341302906
growth,0,0,true,poisson_separate,g15_o1,15,False,b_fraction,0.7247608334223707,0.6688213640753706,0.744070173985997,0.75,-0.025239166577629257
growth,0,0,true,poisson_separate,g15_o1,15,False,left,58.944223679747964,55.49863695202443,61.17984916986562,50,8.944223679747964
growth,0,0,true,poisson_separate,g15_o1,15,False,right,120.76574240168539,110.82273243261953,127.77986755749964,100,20.765742401685387
growth,0,0,true,poisson_separate,g15_o1,15,False,root,286.990281934154,270.9602600566981,317.37722638315813,300,-13.009718065846016
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,loop_open,5.725795416518109,4.054222885241341,8.456040697055112,10,-4.274204583481891
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,loop_major_fraction,0.6769526067388507,0.5099457218196248,0.8343449646394027,0.75,-0.07304739326114928
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,loop_close,19.422744200670724,15.065935731096586,22.188433759938164,25,-5.577255799329276
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,b_split,33.426966708737034,27.547844529877807,37.21962214817481,30,3.4269667087370337
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,b_fraction,0.7020022463967182,0.695157833716499,0.7256450062457721,0.75,-0.047997753603281845
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,left,54.51644395405168,51.73615399677308,57.987599125618495,50,4.516443954051681
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,right,138.50061961470743,133.0404056979973,145.02243715016127,100,38.50061961470743
growth,0,0,hapibd,poisson_shared,g22_o1,22,False,root,255.1343467435785,250.5028547658607,266.4680126536111,300,-44.865653256421496
growth,0,0,hapibd,poisson_shared,g15_o2,15,False,b_split,34.75132479350609,30.14215425040166,43.09729743640874,30,4.751324793506093
growth,0,0,hapibd,poisson_shared,g15_o2,15,False,b_fraction,0.763453448337362,0.7488751740868234,0.7775750057190104,0.75,0.01345344833736195
growth,0,0,hapibd,poisson_shared,g15_o2,15,False,right,66.82601778104204,61.92770916631671,69.57423299897256,100,-33.17398221895796
growth,0,0,hapibd,poisson_shared,g15_o2,15,False,left,70.0194665216675,66.79861923387993,73.56862699497005,50,20.019466521667496
growth,0,0,hapibd,poisson_shared,g15_o2,15,False,root,328.536551645873,302.9724243439593,341.0066084891029,300,28.536551645872976
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,loop_open,28.247619838630595,27.341786731461745,30.983546711269472,10,18.247619838630595
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,loop_major_fraction,0.5490525847969557,0.5289050198003621,0.6493667670365973,0.75,-0.20094741520304427
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,loop_close,41.75561350733632,41.12086858584289,44.558747371740886,25,16.75561350733632
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,b_split,53.72233188732013,52.76016667719371,56.163644608104796,30,23.72233188732013
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,b_fraction,0.7590978281456722,0.7511615176786487,0.7604085012672122,0.75,0.009097828145672171
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,right,67.34257481357012,66.38977498052857,69.51809076519253,100,-32.657425186429876
growth,0,0,hapibd,poisson_shared,g22_o2,22,False,left,70.05036555046539,69.85113810664755,72.15780251993293,50,20.050365550465386
