variant,replicate,d,lp_mode,pathfinder_elbo,pathfinder_logz,laplace_logz,laplace_is_logz,t_pathfinder_logz,t_laplace_logz,pathfinder_k,pathfinder_ess,pathfinder_dropped,laplace_is_k,laplace_is_ess,laplace_is_dropped,t_pathfinder_k,t_pathfinder_ess,t_pathfinder_dropped,t_laplace_k,t_laplace_ess,t_laplace_dropped
poisson_shared,0,16,-167.2812,-206.1036634299823,-191.73580484892537,-179.66424634704202,-181.39333226411674,-186.66277003173124,-182.18104455087612,1.636824520504521,2.0816629692280144,,1.1010000637302557,5.154586542939115,0,2.15990216481933,3.1601738918273674,1,5.009111955890236,11.593107210883641,34
poisson_shared,1,16,-168.68037,-209.87289655442493,-192.87565085974236,-180.69462355056197,-182.8541681121878,-187.59129276611608,-182.00501930525257,1.6148009437243869,1.5991875237921709,,0.9379133424689025,18.764777307076987,0,1.8231631899524492,3.375028187995302,1,4.885615786597614,2.306702570630854,38
poisson_shared,2,16,-165.06229,-213.11534527307438,-192.43210636663048,-176.76805723342312,-179.7786292318945,-181.66798279079993,-178.9660490947573,1.825581329914051,3.936752104797759,,1.501458057999843,30.45806813177695,0,2.643916356366576,1.2567954989625347,4,7.023012386703282,4.332967255376399,61
poisson_shared,3,16,-168.89665,-216.13595460436252,-197.70827495974152,-180.73795379692646,-182.75040706026144,-187.64600848797565,-182.37234075770587,1.6954457418752837,3.3123135707787905,,1.794894210217861,10.266590971910402,0,2.2466205812050584,4.509408015478312,0,5.6779736858331695,3.99904034599086,34
poisson_shared,4,16,-163.3643,-212.01581777162028,-191.56997236949297,-175.69983684200304,-177.72256716868554,-183.32099562038644,-178.06761785586448,1.5947331146001618,3.1393013633297553,,1.1598638287288612,6.2712001331130445,0,2.1594445801872184,4.40713356517254,2,6.355605040267671,7.4038008575163925,42
poisson_shared,5,16,-166.94076,-208.94866993481693,-194.40285585830827,-179.05813288116795,-180.60508372698982,-185.81859663277035,-181.59540480050504,1.6269135388230875,7.928782053654801,,1.2551770591725586,3.1480412322554616,0,3.028032449439024,3.65223572246309,14,4.878290071620366,10.403230873540785,34
poisson_shared,6,16,-169.93444,-215.16244280095984,-193.26210229710625,-182.1812773388356,75.27720084008766,-187.12058855415262,-185.65406900055584,1.7562805301423305,3.3345907174731813,,7.860946204376348,1.000567428043724,0,5.563404109013318,1.9646417793008484,59,11.832910092528474,1.4357986649814845,46
poisson_shared,7,16,-164.71921,-204.94559828884536,-187.4342917806432,-176.15373042860904,-178.39400381941243,-181.75359226704472,-176.2141665140665,1.5244285402632656,1.0707499863301766,,1.1693366547289816,26.65657860029342,0,2.0574915389755795,2.451774981541855,6,4.595263765647426,1.2483491706685292,22
poisson_shared,8,16,-178.46956,-230.98239307942353,-206.34619802349945,-191.4600569264012,-192.95290802119197,-199.88863549817975,-193.50237148114422,1.5271747007984817,1.100933829774765,,0.9956993467325316,3.0828540146694046,0,1.966059758842461,3.0988415155156424,1,5.661512524057223,8.453789560105303,43
poisson_shared,9,16,-179.01204,-221.6867694281854,-205.83489550237655,-191.6330630144931,-193.92051385260007,-195.97571841809784,-193.1280646582304,1.5312493144672994,13.564396214361366,,0.9988931224166916,28.326030324606293,0,2.144194343954524,2.914674706659427,3,5.243506491412335,2.3835655821134503,25
poisson_separate,0,27,-174.7765,-278.60956199489726,-203.60034084175768,-180.35267511766432,-185.96315282455225,-210.83428799771974,-185.98039170168462,2.1529915198158163,8.39859591649441,,4.973452203715441,10.35036776794415,0,32.8673974846116,2.088190036761167,376,14.73270934845285,3.307756943356792,16
poisson_separate,1,27,-174.85639,-404.62225773334796,-206.40820279707737,-180.25753599633268,-185.2931820764171,,-185.52928274208577,1.9430037496959638,5.056259488529653,,4.801520123515493,10.67496117793054,0,,,4000,12.074451354115045,4.824789707627352,14
poisson_separate,2,27,-172.44351,-391.62166439049855,-205.51506840255948,-177.6310172285964,-182.95656224535105,,-183.36400046190357,1.7306373652948324,1.6652205911840308,,5.4011436450622385,8.61160866830068,0,,,4000,16.212564217004484,2.9679346533662594,19
